affiliations.name.en,affiliations.name.no,affiliations.name.se,affiliations.nameNow.en,affiliations.city.en,affiliations.city.no,affiliations.city.se,affiliations.country.en,affiliations.country.no,affiliations.country.se,affiliations.cityNow.en,affiliations.cityNow.no,affiliations.cityNow.se,affiliations.countryNow.en,affiliations.countryNow.no,affiliations.countryNow.se,affiliations.locationString.en,affiliations.locationString.no,affiliations.locationString.se,id,awardYear,category.en
Uppsala University,Uppsala University,Uppsala University,Uppsala University,Uppsala,Uppsala,Uppsala,Sweden,Sverige,Sverige,Uppsala,Uppsala,Uppsala,Sweden,Sverige,Sverige,"Uppsala, Sweden","Uppsala, Sverige","Uppsala, Sverige",208,1948,Chemistry
Bell Laboratories,Bell Laboratories,Bell Laboratories,Bell Laboratories,"Holmdel, NJ","Holmdel, NJ","Holmdel, NJ",USA,USA,USA,"Holmdel, NJ","Holmdel, NJ","Holmdel, NJ",USA,USA,USA,"Holmdel, NJ, USA","Holmdel, NJ, USA","Holmdel, NJ, USA",111,1978,Physics
Bell Laboratories,Bell Laboratories,Bell Laboratories,Bell Laboratories,"Holmdel, NJ","Holmdel, NJ","Holmdel, NJ",USA,USA,USA,"Holmdel, NJ","Holmdel, NJ","Holmdel, NJ",USA,USA,USA,"Holmdel, NJ, USA","Holmdel, NJ, USA","Holmdel, NJ, USA",960,2018,Physics
Queen's University,Queen's University,Queen's University,Queen's University,Kingston,Kingston,Kingston,Canada,Canada,Kanada,Kingston,Kingston,Kingston,Canada,Canada,Kanada,"Kingston, Canada","Kingston, Canada","Kingston, Kanada",920,2015,Physics
University of Chicago,University of Chicago,University of Chicago,University of Chicago,"Chicago, IL","Chicago, IL","Chicago, IL",USA,USA,USA,"Chicago, IL","Chicago, IL","Chicago, IL",USA,USA,USA,"Chicago, IL, USA","Chicago, IL, USA","Chicago, IL, USA",33,1927,Physics
London University,London University,London University,London University,London,London,London,United Kingdom,Storbritannia,Storbritannien,London,London,London,United Kingdom,Storbritannia,Storbritannien,"London, United Kingdom","London, Storbritannia","London, Storbritannien",186,1929,Chemistry
Stanford University,Stanford University,Stanford University,Stanford University,"Stanford, CA","Stanford, CA","Stanford, CA",USA,USA,USA,"Stanford, CA","Stanford, CA","Stanford, CA",USA,USA,USA,"Stanford, CA, USA","Stanford, CA, USA","Stanford, CA, USA",368,1959,Physiology or Medicine
Stanford University,Stanford University,Stanford University,Stanford University,"Stanford, CA","Stanford, CA","Stanford, CA",USA,USA,USA,"Stanford, CA","Stanford, CA","Stanford, CA",USA,USA,USA,"Stanford, CA, USA","Stanford, CA, USA","Stanford, CA, USA",119,1981,Physics
University of Helsinki,University of Helsinki,University of Helsinki,University of Helsinki,Helsinki,Helsingfors,Helsingfors,Finland,Finland,Finland,Helsinki,Helsingfors,Helsingfors,Finland,Finland,Finland,"Helsinki, Finland","Helsingfors, Finland","Helsingfors, Finland",203,1945,Chemistry
Göteborg University,Göteborg University,Göteborg University,Göteborg University,Gothenburg,Gøteborg,Göteborg,Sweden,Sverige,Sverige,Gothenburg,Gøteborg,Göteborg,Sweden,Sverige,Sverige,"Gothenburg, Sweden","Gøteborg, Sverige","Göteborg, Sverige",722,2000,Physiology or Medicine
Copenhagen University,Copenhagen University,Copenhagen University,Copenhagen University,Copenhagen,København,Köpenhamn,Denmark,Danmark,Danmark,Copenhagen,København,Köpenhamn,Denmark,Danmark,Danmark,"Copenhagen, Denmark","København, Danmark","Köpenhamn, Danmark",310,1920,Physiology or Medicine
Technion - Israel Institute of Technology,Technion - Israel Institute of Technology,Technion - Israel Institute of Technology,Technion - Israel Institute of Technology,Haifa,Haifa,Haifa,Israel,Israel,Israel,Haifa,Haifa,Haifa,Israel,Israel,Israel,"Haifa, Israel","Haifa, Israel","Haifa, Israel",780,2004,Chemistry
University of North Carolina,University of North Carolina,University of North Carolina,University of North Carolina,"Chapel Hill, NC","Chapel Hill, NC","Chapel Hill, NC",USA,USA,USA,"Chapel Hill, NC","Chapel Hill, NC","Chapel Hill, NC",USA,USA,USA,"Chapel Hill, NC, USA","Chapel Hill, NC, USA","Chapel Hill, NC, USA",923,2015,Chemistry
Cold Spring Harbor Laboratory,Cold Spring Harbor Laboratory,Cold Spring Harbor Laboratory,Cold Spring Harbor Laboratory,"Cold Spring Harbor, NY","Cold Spring Harbor, NY","Cold Spring Harbor, NY",USA,USA,USA,"Cold Spring Harbor, NY","Cold Spring Harbor, NY","Cold Spring Harbor, NY",USA,USA,USA,"Cold Spring Harbor, NY, USA","Cold Spring Harbor, NY, USA","Cold Spring Harbor, NY, USA",428,1983,Physiology or Medicine
LIGO/VIRGO Collaboration,LIGO/VIRGO Collaboration,LIGO/VIRGO Collaboration,LIGO/VIRGO Collaboration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,N/A,N/A,942,2017,Physics
California Institute of Technology (Caltech),California Institute of Technology (Caltech),California Institute of Technology (Caltech),California Institute of Technology (Caltech),"Pasadena, CA","Pasadena, CA","Pasadena, CA",USA,USA,USA,"Pasadena, CA","Pasadena, CA","Pasadena, CA",USA,USA,USA,"Pasadena, CA, USA","Pasadena, CA, USA","Pasadena, CA, USA",942,2017,Physics
"NHMRC Helicobacter pylori Research Laboratory, QEII Medical Centre","NHMRC Helicobacter pylori Research Laboratory, QEII Medical Centre","NHMRC Helicobacter pylori Research Laboratory, QEII Medical Centre","NHMRC Helicobacter pylori Research Laboratory, QEII Medical Centre",Nedlands,Nedlands,Nedlands,Australia,Australia,Australien,Nedlands,Nedlands,Nedlands,Australia,Australia,Australien,"Nedlands, Australia","Nedlands, Australia","Nedlands, Australien",789,2005,Physiology or Medicine
University of Western Australia,University of Western Australia,University of Western Australia,University of Western Australia,Perth,Perth,Perth,Australia,Australia,Australien,Perth,Perth,Perth,Australia,Australia,Australien,"Perth, Australia","Perth, Australia","Perth, Australien",789,2005,Physiology or Medicine
The Scripps Research Institute,The Scripps Research Institute,The Scripps Research Institute,The Scripps Research Institute,"La Jolla, CA","La Jolla, CA","La Jolla, CA",USA,USA,USA,"La Jolla, CA","La Jolla, CA","La Jolla, CA",USA,USA,USA,"La Jolla, CA, USA","La Jolla, CA, USA","La Jolla, CA, USA",743,2001,Chemistry
The Institute for Cancer Research,The Institute for Cancer Research,The Institute for Cancer Research,The Institute for Cancer Research,"Philadelphia, PA","Philadelphia, PA","Philadelphia, PA",USA,USA,USA,"Philadelphia, PA","Philadelphia, PA","Philadelphia, PA",USA,USA,USA,"Philadelphia, PA, USA","Philadelphia, PA, USA","Philadelphia, PA, USA",409,1976,Physiology or Medicine
Harvard Medical School,Harvard Medical School,Harvard Medical School,Harvard Medical School,"Boston, MA","Boston, MA","Boston, MA",USA,USA,USA,"Boston, MA","Boston, MA","Boston, MA",USA,USA,USA,"Boston, MA, USA","Boston, MA, USA","Boston, MA, USA",419,1980,Physiology or Medicine
Nordita,Nordita,Nordita,Nordita,Copenhagen,København,Köpenhamn,Denmark,Danmark,Danmark,Copenhagen,København,Köpenhamn,Denmark,Danmark,Danmark,"Copenhagen, Denmark","København, Danmark","Köpenhamn, Danmark",103,1975,Physics
Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology (MIT),"Cambridge, MA","Cambridge, MA","Cambridge, MA",USA,USA,USA,"Cambridge, MA","Cambridge, MA","Cambridge, MA",USA,USA,USA,"Cambridge, MA, USA","Cambridge, MA, USA","Cambridge, MA, USA",936,2016,Economic Sciences
Karolinska Institutet,Karolinska Institutet,Karolinska Institutet,Karolinska Institutet,Stockholm,Stockholm,Stockholm,Sweden,Sverige,Sverige,Stockholm,Stockholm,Stockholm,Sweden,Sverige,Sverige,"Stockholm, Sweden","Stockholm, Sverige","Stockholm, Sverige",426,1982,Physiology or Medicine
University of Groningen,University of Groningen,University of Groningen,University of Groningen,Groningen,Groningen,Groningen,the Netherlands,Nederland,Nederländerna,Groningen,Groningen,Groningen,the Netherlands,Nederland,Nederländerna,"Groningen, the Netherlands","Groningen, Nederland","Groningen, Nederländerna",933,2016,Chemistry
Instituto de Biologia y Medicina Experimental (Institute for Biology and Experimental Medicine),Instituto de Biologia y Medicina Experimental (Institute for Biology and Experimental Medicine),Instituto de Biologia y Medicina Experimental (Institute for Biology and Experimental Medicine),Instituto de Biologia y Medicina Experimental (Institute for Biology and Experimental Medicine),Buenos Aires,Buenos Aires,Buenos Aires,Argentina,Argentina,Argentina,Buenos Aires,Buenos Aires,Buenos Aires,Argentina,Argentina,Argentina,"Buenos Aires, Argentina","Buenos Aires, Argentina","Buenos Aires, Argentina",345,1947,Physiology or Medicine
Max-Planck-Institut für medizinische Forschung,Max-Planck-Institut für medizinische Forschung,Max-Planck-Institut für medizinische Forschung,Max-Planck-Institut für medizinische Forschung,Heidelberg,Heidelberg,Heidelberg,Germany,Tyskland,Tyskland,Heidelberg,Heidelberg,Heidelberg,Germany,Tyskland,Tyskland,"Heidelberg, Germany","Heidelberg, Tyskland","Heidelberg, Tyskland",445,1991,Physiology or Medicine
Stockholm School of Economics,Stockholm School of Economics,Stockholm School of Economics,Stockholm School of Economics,Stockholm,Stockholm,Stockholm,Sweden,Sverige,Sverige,Stockholm,Stockholm,Stockholm,Sweden,Sverige,Sverige,"Stockholm, Sweden","Stockholm, Sverige","Stockholm, Sverige",689,1977,Economic Sciences
