awardYear,sortOrder,portion,dateAwarded,prizeStatus,prizeAmount,prizeAmountAdjusted,category.en,category.no,category.se,categoryFullName.en,categoryFullName.no,categoryFullName.se,motivation.en,motivation.se,prizes.links.rel,prizes.links.href,prizes.links.action,prizes.links.types,id,motivation.no,topMotivation.en,topMotivation.se
1992,1,1,1992-10-12,received,6500000,9350791,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,for his contributions to the theory of electron transfer reactions in chemical systems,för hans bidrag till teorin för elektronöverföringsreaktioner i kemiska system,nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/1992,Get,application/json,277,NA,NA,NA
1907,1,1,NA,received,138796,7161123,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,"in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author","i betraktande av den iakttagelseförmåga, den ursprungliga inbillningskraft samt den manliga styrka i uppfattning och skildringskonst, som utmärka denne världsberömde författares skapelser",nobelPrize,https://api.nobelprize.org/2/nobelPrize/lit/1907,Get,application/json,577,NA,NA,NA
1993,1,1/2,1993-10-13,received,6700000,9208279,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,"for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation","för upptäckten av en ny typ av pulsar, en upptäckt som öppnat nya möjligheter för studiet av gravitationen",nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/1993,Get,application/json,143,NA,NA,NA
2001,2,1/4,2001-10-10,received,10000000,12518033,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,for their work on chirally catalysed hydrogenation reactions,för deras arbeten över kiralt katalyserade hydrogeneringssreaktioner,nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/2001,Get,application/json,742,NA,NA,NA
1960,1,1,1960-10-26,received,225987,2713265,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,for the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time,"för den höga flykten och den bildskapande fantasien i hans diktning, som visionärt avspeglar tidsläget",nobelPrize,https://api.nobelprize.org/2/nobelPrize/lit/1960,Get,application/json,631,NA,NA,NA
1969,3,1/3,NA,received,375000,3239253,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for their discoveries concerning the replication mechanism and the genetic structure of viruses,för deras upptäckter rörande virus förökningsmekanism och genetiska struktur,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1969,Get,application/json,393,NA,NA,NA
1959,1,1,NA,received,220678,2753427,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,"for his lyrical poetry, which with classical fire expresses the tragic experience of life in our own times","för hans lyriska diktning, som med klassisk eld uttrycker samtidens tragiska livskänsla",nobelPrize,https://api.nobelprize.org/2/nobelPrize/lit/1959,Get,application/json,630,NA,NA,NA
1969,1,1,NA,received,375000,3239253,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,"for his writing, which - in new forms for the novel and drama - in the destitution of modern man acquires its elevation",för en diktning som i nya former för roman och drama ur nutidsmänniskans blottställdhet hämtar sin konstnärliga resning,nobelPrize,https://api.nobelprize.org/2/nobelPrize/lit/1969,Get,application/json,643,NA,NA,NA
1976,2,1/2,1976-10-18,received,681000,3403217,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,for their pioneering work in the discovery of a heavy elementary particle of a new kind,för deras ledande insatser vid upptäckten av en tung elementarpartikel av nytt slag,nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/1976,Get,application/json,106,NA,NA,NA
1906,2,1/2,NA,received,138536,7556149,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,in recognition of their work on the structure of the nervous system,såsom ett erkännande åt deras arbeten rörande nervsystemets byggnad,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1906,Get,application/json,299,NA,NA,NA
2015,2,1/4,NA,received,8000000,8536613,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for their discoveries concerning a novel therapy against infections caused by roundworm parasites,för deras upptäckter rörande en ny terapi mot infektioner orsakade av parasitmaskar,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/2015,Get,application/json,917,NA,NA,NA
1976,1,1,NA,received,681000,3403217,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,for the human understanding and subtle analysis of contemporary culture that are combined in his work,"för den mänskliga förståelse och subtila kulturanalys, som förenas i hans verk",nobelPrize,https://api.nobelprize.org/2/nobelPrize/lit/1976,Get,application/json,652,NA,NA,NA
2011,1,1/2,2011-10-04,received,10000000,10736783,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae,för upptäckten av universums accelererande expansion genom observationer av avlägsna supernovor,nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/2011,Get,application/json,864,NA,NA,NA
1995,1,1,NA,received,7200000,9446598,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,"for works of lyrical beauty and ethical depth, which exalt everyday miracles and the living past","för ett författarskap av lyrisk skönhet och etiskt djup, som lyfter fram vardagens mirakler och det levande förflutna",nobelPrize,https://api.nobelprize.org/2/nobelPrize/lit/1995,Get,application/json,672,NA,NA,NA
1974,1,1/2,1974-10-09,received,550000,3322627,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,for his efforts to secure and develop human rights throughout the world,NA,nobelPrize,https://api.nobelprize.org/2/nobelPrize/pea/1974,Get,application/json,532,for sin innsats for å sikre og utvikle menneskerettighetene rundt om i verden,NA,NA
1909,1,1,NA,received,139800,7212924,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,"in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings","på grund av den ädla idealitet, den fantasiens rikedom och den framställningens själfullhet, som prägla hennes diktning",nobelPrize,https://api.nobelprize.org/2/nobelPrize/lit/1909,Get,application/json,579,NA,NA,NA
1952,1,1,NA,received,171135,2592831,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,"for his discovery of streptomycin, the first antibiotic effective against tuberculosis",för hans upptäckt av streptomycin - det första mot tuberkulos verksamma antibiotiska ämnet,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1952,Get,application/json,353,NA,NA,NA
2012,1,1/2,2012-10-09,received,8000000,8512821,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems,”för banbrytande experimentella metoder som möjliggör mätning och styrning av enstaka kvantsystem”,nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/2012,Get,application/json,876,NA,NA,NA
1959,1,1/2,NA,received,220678,2753427,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid,för deras upptäckter av mekanismen vid den biologiska syntesen av ribonukleinsyra och deoxiribonukleinsyra,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1959,Get,application/json,367,NA,NA,NA
1979,1,1/3,1979-10-15,received,800000,3042231,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current","för deras insatser inom teorin för förenad svag och elektromagnetisk växelverkan mellan elementar partiklar, innefattande bl.a. förutsägelsen av den svaga neutrala strömmen",nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/1979,Get,application/json,113,NA,NA,NA
1994,2,1/3,1994-10-14,received,7000000,9417195,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,for their efforts to create peace in the Middle East,NA,nobelPrize,https://api.nobelprize.org/2/nobelPrize/pea/1994,Get,application/json,558,for  deres bestrebelser for å skape fred i Midtøsten,NA,NA
2012,2,1/2,NA,received,8000000,8512821,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for the discovery that mature cells can be reprogrammed to become pluripotent,för upptäckten att mogna celler kan omprogrammeras till pluripotens”,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/2012,Get,application/json,875,NA,NA,NA
2003,1,1,2003-10-10,received,10000000,12021411,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,for her efforts for democracy and human rights. She has focused especially on the struggle for the rights of women and children,NA,nobelPrize,https://api.nobelprize.org/2/nobelPrize/pea/2003,Get,application/json,773,for hennar innsats for demokrati og menneskerettar. Ho har særleg engasjert seg i kampen for rettane til kvinner og born,NA,NA
1966,1,1/2,NA,received,300000,2835149,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,for his profoundly characteristic narrative art with motifs from the life of the Jewish people,för hans djupt karaktärsfulla berättarkonst med motiv från det judiska folkets liv,nobelPrize,https://api.nobelprize.org/2/nobelPrize/lit/1966,Get,application/json,639,NA,NA,NA
2014,3,1/3,2014-10-07,received,8000000,8531844,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources,för uppfinningen av effektiva blå lysdioder vilka möjliggjort ljusstarka och energisnåla vita ljuskällor,nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/2014,Get,application/json,908,NA,NA,NA
1989,1,1/2,1989-10-12,received,3000000,5337372,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,for their discovery of catalytic properties of RNA,för deras upptäckt av katalytiska egenskaper hos RNA,nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/1989,Get,application/json,273,NA,NA,NA
1928,1,1,NA,received,156939,4539342,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,principally for her powerful descriptions of Northern life during the Middle Ages,förnämligast för hennes mäktiga skildringar ur Nordens medeltida liv,nobelPrize,https://api.nobelprize.org/2/nobelPrize/lit/1928,Get,application/json,601,NA,NA,NA
1971,1,1,NA,received,450000,3382087,Economic Sciences,Økonomi,Ekonomi,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Sveriges Riksbanks pris i økonomisk vitenskap til minne om Alfred Nobel,Sveriges Riksbanks pris i ekonomisk vetenskap till Alfred Nobels minne,for his empirically founded interpretation of economic growth which has led to new and deepened insight into the economic and social structure and process of development,för hans empiriskt baserade tolkning av ekonomisk tillväxt som lett till ny och fördjupad insikt i den ekonomiska och sociala strukturen och utvecklingsprocessen,nobelPrize,https://api.nobelprize.org/2/nobelPrize/eco/1971,Get,application/json,680,NA,NA,NA
