awardYear,sortOrder,portion,dateAwarded,prizeStatus,prizeAmount,prizeAmountAdjusted,category.en,category.no,category.se,categoryFullName.en,categoryFullName.no,categoryFullName.se,motivation.en,motivation.se,prizes.links.rel,prizes.links.href,prizes.links.action,prizes.links.types,id,motivation.no,topMotivation.en,topMotivation.se
1984,2,1/2,1984-10-17,received,1650000,3850672,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,"for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction","för deras avgörande insatser i det stora projekt, som lett till upptäckten av fältpartiklarna W och Z, förmedlare av svag växelverkan",nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/1984,Get,application/json,125,NA,NA,NA
1965,1,1/3,NA,received,282000,2833358,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,"for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles","för deras fundamentala insats inom kvantelektrodynamiken, med djupgående konsekvenser för elementarpartikelfysiken",nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/1965,Get,application/json,84,NA,NA,NA
1930,1,1,NA,received,172947,5158685,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,"for his vigorous and graphic art of description and his ability to create, with wit and humour, new types of characters","för hans starka och levande skildringskonst, med typskapande förmåga, med kvickhet och humor",nobelPrize,https://api.nobelprize.org/2/nobelPrize/lit/1930,Get,application/json,603,NA,NA,NA
1945,1,1/3,NA,received,121333,2545326,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for the discovery of penicillin and its curative effect in various infectious diseases,för upptäckten av penicillinet och dess botande verkan vid olika infektionssjukdomar,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1945,Get,application/json,339,NA,NA,NA
1979,2,1/2,1979-10-16,received,800000,3042231,Economic Sciences,Økonomi,Ekonomi,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Sveriges Riksbanks pris i økonomisk vitenskap til minne om Alfred Nobel,Sveriges Riksbanks pris i ekonomisk vetenskap till Alfred Nobels minne,for their pioneering research into economic development research with particular consideration of the problems of developing countries,för deras pionjärarbeten inom ekonomisk utvecklingsforskning med särskild hänsyn till u-ländernas problem,nobelPrize,https://api.nobelprize.org/2/nobelPrize/eco/1979,Get,application/json,693,NA,NA,NA
1925,1,1/2,1926-12-10,received,118165,3269232,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,for his crucial role in bringing about the Locarno Treaty,NA,nobelPrize,https://api.nobelprize.org/2/nobelPrize/pea/1925,Get,application/json,488,for sin avgjørende rolle i arbeidet med Locarnotraktaten,NA,NA
1970,1,1/3,1970-10-15,received,400000,3235593,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,"for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage, release and inactivation","för deras upptäckter rörande signalsubstanser i nervcellernas kontaktorgan och mekanismerna för deras upplagring, frisättning och inaktivering",nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1970,Get,application/json,394,NA,NA,NA
1930,1,1,NA,received,172947,5158685,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,for his work on the scattering of light and for the discovery of the effect named after him,för hans arbeten angående ljusets diffusion och för upptäckten av den efter honom uppkallade effekten,nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/1930,Get,application/json,37,NA,NA,NA
1932,1,1/2,NA,received,171753,5375024,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for their discoveries regarding the functions of neurons,för deras upptäckter rörande neuronets funktioner,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1932,Get,application/json,323,NA,NA,NA
1956,1,1/2,NA,received,200123,2748452,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,for their researches into the mechanism of chemical reactions,för deras undersökningar över kemiska reaktioners mekanism,nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/1956,Get,application/json,219,NA,NA,NA
1960,1,1/2,1960-10-20,received,225987,2713265,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for discovery of acquired immunological tolerance,för upptäckten av förvärvad immunologisk tolerans,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1960,Get,application/json,369,NA,NA,NA
1929,2,1/2,NA,received,172760,4996952,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for his discovery of the growth-stimulating vitamins,för hans upptäckt av tillväxtvitaminerna,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1929,Get,application/json,320,NA,NA,NA
2018,3,1/4,2018-10-03,received,9000000,9163200,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,for the phage display of peptides and antibodies,för fagdisplay av peptider och antikroppar,nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/2018,Get,application/json,965,NA,NA,NA
1996,2,1/3,1996-10-09,received,7400000,9662517,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,for their discovery of fullerenes,för deras upptäckt av fullerener,nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/1996,Get,application/json,285,NA,NA,NA
